"Active Licenses","Permit Number","BAN","Permit Status","POE Class Code","License Type","DBA Name","Street Address","City","State","Point","analysis_neighborhood","supervisor_district","police_district","data_as_of","data_loaded_at"
"POE","152","0414825","Active","P23","Place of Entertainment","Bottom of the Hill","1233 17TH ST","San Francisco","CA","POINT (-122.396427 37.764927)","Potrero Hill","10","BAYVIEW","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1520","1100370","Active","P23","Place of Entertainment","Dimples Cocktail Lounge","1700 POST ST","San Francisco","CA","POINT (-122.429997 37.785672)","Japantown","5","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1522","1088893","Active",,,"Supreme Crab","245 JEFFERSON ST","San Francisco","CA","POINT (-122.4164745 37.807848)","North Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1524","1101325","Active","P23","Place of Entertainment","Kimbara","3380 19TH ST","San Francisco","CA","POINT (-122.4187425 37.760382)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP, BP","1526","454590","Active",,,"St. Mary's Pub","3845 MISSION ST","San Francisco","CA","POINT (-122.4244035 37.735461)","Bernal Heights","9","INGLESIDE","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"EHP","1527","1083011","Active",,,"Happy Donuts","3801 24TH ST","San Francisco","CA","POINT (-122.427585 37.751598)","Noe Valley","8","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"BP","1528","1017344","Active",,,"Ha-Ra Club","875 GEARY ST","San Francisco","CA","POINT (-122.417613 37.785978)","Tenderloin","5","TENDERLOIN","2025/06/25 04:33:08 PM","2025/10/10 08:05:31 AM"
"LLP, BP","1529","1016839","Active",,,"The Blue Light","1979 UNION ST","San Francisco","CA","POINT (-122.431653 37.797345)","Marina","2","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1533","0435423","Active","P23","Place of Entertainment","The Hibernia","1 JONES ST","San Francisco","CA","POINT (-122.412447 37.781379)","Tenderloin","5","TENDERLOIN","2025/01/30 04:11:58 PM","2025/10/10 08:05:31 AM"
"BP","1534","1103531","Active",,,"Lost Resort","2736 20TH ST","San Francisco","CA","POINT (-122.408757 37.759473)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1538","324889","Active",,,"Zeitgeist","199 VALENCIA ST","San Francisco","CA","POINT (-122.422113 37.77003)","Mission","9","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1539","0429796","Active",,,"MERCURY CAFE","201 OCTAVIA ST","San Francisco","CA","POINT (-122.424336 37.773999)","Hayes Valley","5","NORTHERN","2025/04/29 03:23:40 PM","2025/10/10 08:05:31 AM"
"POE","154","0367892","Active","P23","Place of Entertainment","Barbarossa","714 MONTGOMERY ST","San Francisco","CA","POINT (-122.4030825 37.795905)","Chinatown","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, MAD, BP","1540","1101267","Active","P23","Place of Entertainment","Westwood","2036 LOMBARD ST","San Francisco","CA","POINT (-122.435487 37.800252)","Marina","2","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1541","1097980","Active",,,"Velo Rouge Café","798 ARGUELLO BLVD","San Francisco","CA","POINT (-122.458275 37.775376)","Lone Mountain/USF","1","RICHMOND","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, EHP","1542","1021268","Active","P23","Place of Entertainment","FAIRMONT HOTEL / The Laurel Court Bar","950 MASON ST","San Francisco","CA","POINT (-122.410683 37.792179)","Nob Hill","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1543","1093823","Active","P23","Place of Entertainment","Hotel Whitcomb","1231 MARKET ST","San Francisco","CA","POINT (-122.414805 37.77795)","South of Market","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1545","0483348","Active",,,"Adobe Books","3130 24TH ST","San Francisco","CA","POINT (-122.4147915 37.752669)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1546","1002098","Active",,,"Temo's Café","3000 24TH ST","San Francisco","CA","POINT (-122.412213 37.752804)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1548","0121735","Active",,,"Silverstone Café","3278 24TH ST","San Francisco","CA","POINT (-122.4179955 37.752489)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1549","1106304","Active",,,"Macondray","2209 POLK ST","San Francisco","CA","POINT (-122.4222795 37.797093)","Russian Hill","3","NORTHERN","2025/03/28 03:06:35 PM","2025/10/10 08:05:31 AM"
"POE","1551","0316853","Active","P23","Place of Entertainment","MoMo's","760 2ND ST","San Francisco","CA","POINT (-122.390226 37.779849)","Mission Bay","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1554","485594","Active",,,"Poc-Chuc Restaurant","2886 16TH ST","San Francisco","CA","POINT (-122.4171045 37.765476)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"BP","1555","422654","Active",,,"Ireland's 32","3920 GEARY BLVD","San Francisco","CA","POINT (-122.461434 37.781325)","Inner Richmond","1","RICHMOND","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1559","1088231","Active",,,"El Trebol","3149 22ND ST","San Francisco","CA","POINT (-122.4173385 37.755333)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"EHP","1563","1026767","Active",,,"The Midway","900 MARIN ST","San Francisco","CA","POINT (-122.385681 37.749285)","Bayview Hunters Point","10","BAYVIEW","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1564","1005997","Active",,,"Stanford Court Hotel","905 CALIFORNIA ST","San Francisco","CA","POINT (-122.409423 37.791864)","Nob Hill","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1567","1109150","Active","P23","Place of Entertainment","K-Time Karaoke","870 TARAVAL ST","San Francisco","CA","POINT (-122.475319875 37.743098939)","West of Twin Peaks","7","TARAVAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1569","1109651","Active","P23","Place of Entertainment","Brick and Mortar","1710 MISSION ST","San Francisco","CA","POINT (-122.4203985 37.769724)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1570","1064954","Active","P23","Place of Entertainment","Intercontinental Mark Hopkins","999 CALIFORNIA ST","San Francisco","CA","POINT (-122.41026 37.791414)","Nob Hill","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1573","197374","Active","P23","Place of Entertainment","The Rite Spot","2099 FOLSOM ST","San Francisco","CA","POINT (-122.414994 37.763838)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1574","1095161","Active","P23","Place of Entertainment","Nightingale","239 KEARNY ST","San Francisco","CA","POINT (-122.404194 37.790316)","Financial District/South Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1582","1083345","Active",,,"Recovery Room","4528 MISSION ST","San Francisco","CA","POINT (-122.434353 37.725507)","Outer Mission","11","INGLESIDE","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, EHP","1584","1117520","Active","P23","Place of Entertainment","Layaly LLC","1501 FOLSOM ST","San Francisco","CA","POINT (-122.414022 37.771596)","Mission","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1586","1106755","Active","P23","Place of Entertainment","Arcana SF","2512 MISSION ST","San Francisco","CA","POINT (-122.419188 37.756737)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1587","1118267","Active","P23","Place of Entertainment","Lion's Den Bar and Lounge","57 WENTWORTH PL","San Francisco","CA","POINT (-122.4062775 37.795752)","Chinatown","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1588","1122800","Active","P23","Place of Entertainment","Club Fugazi Experiences","678 GREEN ST","San Francisco","CA","POINT (-122.410278 37.79964)","Chinatown","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1590","481442","Active","P23","Place of Entertainment","Cadillac Bar and Grill","1355 MARKET ST","San Francisco","CA","POINT (-122.4164835 37.777131)","South of Market","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1591","1013255","Active",,,"The Italian Homemade Company","1919 UNION ST","San Francisco","CA","POINT (-122.430987 37.797435)","Marina","2","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1592","1113603","Active","P23","Place of Entertainment","The Reserve","301 BATTERY ST","San Francisco","CA","POINT (-122.4007965 37.794294)","Chinatown","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1593","1110180","Active","P23","Place of Entertainment","Nickie's","466 HAIGHT ST","San Francisco","CA","POINT (-122.429871 37.772415)","Hayes Valley","5","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1596","1114232","Active",,,"Red Window","500 COLUMBUS AVE","San Francisco","CA","POINT (-122.4092835 37.799883)","North Beach","3","CENTRAL","2025/02/04 12:42:30 PM","2025/10/10 08:05:31 AM"
"LLP","1597","1060205","Active",,,"Endgames Improv (location 2)","2965 MISSION ST","San Francisco","CA","POINT (-122.417865 37.749681)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1598","1124634","Active",,,"The Foundry SF","1425 FOLSOM ST","San Francisco","CA","POINT (-122.412924 37.772271)","South of Market","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1599","1112885","Active",,,"The Mellow SF","1401 HAIGHT ST","San Francisco","CA","POINT (-122.4456615 37.769994)","Haight Ashbury","5","PARK","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP, MAD, BP","1600","1124462","Active",,,"Bus Stop","1901 UNION ST","San Francisco","CA","POINT (-122.4307215 37.797543)","Marina","2","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1601","0397243","Active",,,"Gestalt","3159 16TH ST","San Francisco","CA","POINT (-122.4233145 37.764576)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1603","0433003","Active",,,"La Cocina Municipal Marketplace","101 HYDE ST","San Francisco","CA","POINT (-122.4157095 37.781838)","Tenderloin","5","TENDERLOIN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1604","1086612","Active","P23","Place of Entertainment","The Clift Royal Sonesta Hotel","495 GEARY ST","San Francisco","CA","POINT (-122.4111195 37.786707)","Tenderloin","3","TENDERLOIN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1605","1122409","Active",,,"Vic's Winehouse on Fillmore","1870 FILLMORE ST","San Francisco","CA","POINT (-122.4332685 37.786698)","Pacific Heights","5","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1606","1015750","Active",,,"El Farolito Bar","2777 MISSION ST","San Francisco","CA","POINT (-122.4181395 37.75266)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1607","1147352","Active","P23","Place of Entertainment","Paris 75","515 BROADWAY","San Francisco","CA","POINT (-122.405877 37.79775)","North Beach","3","CENTRAL","2024/03/13 11:35:10 AM","2025/10/10 08:05:31 AM"
"BP","1609","1106728","Active",,,"Karl's Beacon","1355 TARAVAL ST","San Francisco","CA","POINT (-122.480865 37.74258)","Sunset/Parkside","4","TARAVAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, MAD, BP","161","0382151","Active","P23","Place of Entertainment","DELIRIUM COCKTAILS","3139 16TH ST","San Francisco","CA","POINT (-122.42268 37.764657)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1610","1122954","Active",,,"Sool Bar & Lounge","323 GRANT AVE","San Francisco","CA","POINT (-122.405715 37.789974)","Financial District/South Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, EHP","1611","1128118","Active","P23","Place of Entertainment","The Record Store","177 EDDY ST","San Francisco","CA","POINT (-122.4103995 37.783935)","Tenderloin","5","TENDERLOIN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1613","1125754","Active","P23","Place of Entertainment","Tai-Sho","1161 POST ST","San Francisco","CA","POINT (-122.420898 37.786446)","Tenderloin","3","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1615","1097520","Active","P23","Place of Entertainment","HEMLOCK TAVERN","1131 POLK ST","San Francisco","CA","POINT (-122.420313 37.787472)","Nob Hill","3","NORTHERN","2025/03/28 03:06:35 PM","2025/10/10 08:05:31 AM"
"LLP","1616","0449597","Active",,,"THE BRIXTON","2140 UNION ST","San Francisco","CA","POINT (-122.434578 37.797498)","Marina","2","NORTHERN","2025/10/07 01:51:32 PM","2025/10/10 08:05:31 AM"
"POE, BP","1617","1125062","Active","P23","Place of Entertainment","Persona","685 SUTTER ST","San Francisco","CA","POINT (-122.4114705 37.788759)","Nob Hill","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, BP","1618","1129746","Active","P23","Place of Entertainment","GeeLou","3251 SCOTT ST","San Francisco","CA","POINT (-122.441409 37.799829)","Marina","2","NORTHERN","2025/02/06 11:42:30 AM","2025/10/10 08:05:31 AM"
"POE","1620","1064205","Active","P23","Place of Entertainment","The Lost Church","665 CHESTNUT ST","San Francisco","CA","POINT (-122.4143775 37.803465)","North Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1621","476804","Active",,,"Community Art Stabilization Trust","447 MINNA ST","San Francisco","CA","POINT (-122.406894 37.781325)","South of Market","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1622","475917","Active","P23","Place of Entertainment","Southeast Community Center","1550 EVANS AVE","San Francisco","CA","POINT (-122.387346918 37.742526383)","Bayview Hunters Point","10","BAYVIEW","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1624","1132462","Active",,,"5M Project Owners Association","430 NATOMA ST","San Francisco","CA","POINT (-122.4063225 37.781487)","South of Market","6","SOUTHERN","2025/02/06 01:43:51 PM","2025/10/10 08:05:31 AM"
"LLP","1625","396103","Active",,,"The Napper Tandy","3200 24TH ST","San Francisco","CA","POINT (-122.4166005 37.75248)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1627","1124761","Active",,,"Kaiyo Rooftop and Bar","701 3RD ST","San Francisco","CA","POINT (-122.392269 37.778823)","Mission Bay","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1629","458500","Active",,,"Churchill","198 CHURCH ST","San Francisco","CA","POINT (-122.429196 37.767951)","Castro/Upper Market","8","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1630","460444","Active",,,"Gold Cane","1569 HAIGHT ST","San Francisco","CA","POINT (-122.4479655 37.769598)","Haight Ashbury","5","PARK","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1631","1154422","Active","P23","Place of Entertainment","Natoma Cabana","90 NATOMA ST","San Francisco","CA","POINT (-122.3985825 37.787607)","Financial District/South Beach","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"MAD","1632",,"Active",,,"Thriller Social Club","508 4TH ST","San Francisco","CA","POINT (-122.398092 37.779201)","South of Market","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1633","1085563","Active",,,"Skylight Studios","1800 MISSION ST","San Francisco","CA","POINT (-122.4202005 37.767861)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1636","1130719","Active",,,"Underdogs Cantina","128 KING ST","San Francisco","CA","POINT (-122.3907255 37.779507)","Mission Bay","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1637","1080534","Active",,,"Aura Restaurant & Bar","2368 3RD ST","San Francisco","CA","POINT (-122.388795 37.75959)","Potrero Hill","10","BAYVIEW","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1638","477366","Active",,,"The Klamath",,"San Francisco","CA",,,,,"2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1640","1107730","Active",,,"Barley","1038 POLK ST","San Francisco","CA","POINT (-122.4196515 37.786608)","Tenderloin","3","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1642","441113","Active",,,"The Grove - Yerba Buena","690 MISSION ST","San Francisco","CA","POINT (-122.401953 37.786554)","Financial District/South Beach","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1644","378507","Active","P23","Place of Entertainment","Big Baobab","2243 MISSION ST","San Francisco","CA","POINT (-122.419089 37.76112)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1645","1109351","Active",,,"Kona's Street Market","32 3RD ST","San Francisco","CA","POINT (-122.4032625 37.787049)","Financial District/South Beach","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1646","1134103","Active",,,"Unwined","9 WEST PORTAL AVE","San Francisco","CA","POINT (-122.465799 37.740681)","West of Twin Peaks","7","TARAVAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1647","1132991","Active","P23","Place of Entertainment","Lyon and Swan","124 COLUMBUS AVE","San Francisco","CA","POINT (-122.4046845 37.796679)","Chinatown","3","CENTRAL","2025/02/26 03:08:48 PM","2025/10/10 08:05:31 AM"
"LLP","1648","1128380","Active",,,"Stable Café","2128 FOLSOM ST","San Francisco","CA","POINT (-122.415471 37.763217)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1649","1133621","Active",,,"The Old Clam House","299 BAY SHORE BLVD","San Francisco","CA","POINT (-122.4048645 37.743066)","Bayview Hunters Point","10","BAYVIEW","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP, BP","1650","1131684","Active",,,"Pitts Pub","4207 JUDAH ST","San Francisco","CA","POINT (-122.5073385 37.76013)","Sunset/Parkside","4","TARAVAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1651","1117142","Active",,,"That's Amore SF","1901 OCEAN AVE","San Francisco","CA","POINT (-122.4625095 37.725039)","West of Twin Peaks","7","TARAVAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1652","1090138","Active",,,"Ora Wine Bar","1519 POLK ST","San Francisco","CA","POINT (-122.420889 37.790784)","Nob Hill","3","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1653","1133682","Active","P23","Place of Entertainment","Dahlia Lounge","1799 MISSION ST","San Francisco","CA","POINT (-122.419737 37.76841)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1654","1124924","Active","P23","Place of Entertainment","Candlestick Park Bar","747 3RD ST","San Francisco","CA","POINT (-122.391999 37.778508)","Mission Bay","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1656","1094558","Active",,,"The Vault Restaurant","555 CALIFORNIA ST","San Francisco","CA","POINT (-122.403486037 37.792262006)","Financial District/South Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1657","1129511","Active","P23","Place of Entertainment","Keys Jazz Bistro","498 BROADWAY","San Francisco","CA","POINT (-122.40537842 37.7980607)","North Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1658","1129532","Active",,,"For the Record","2120 GREENWICH ST","San Francisco","CA","POINT (-122.435496 37.799217)","Marina","2","NORTHERN","2025/02/11 01:18:12 PM","2025/10/10 08:05:31 AM"
"POE","1659",,"Active","P23","Place of Entertainment","Dawn Club & Lark Bar","685 MARKET ST","San Francisco","CA","POINT (-122.402772 37.787652)","Financial District/South Beach","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1660","1135503","Active","P23","Place of Entertainment","Harlan Records","18 HARLAN PL","San Francisco","CA","POINT (-122.404807882 37.790216844)","Financial District/South Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1661","1087347","Active",,,"Union Station","2075 MISSION ST","San Francisco","CA","POINT (-122.4190575 37.763865)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1662","1020981","Active",,,"Moe Greens","1276 MARKET ST","San Francisco","CA","POINT (-122.416074 37.778112)","Tenderloin","6","TENDERLOIN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1663","474382","Active",,,"Barbary Coast","952 MISSION ST","San Francisco","CA","POINT (-122.4078705 37.782063)","South of Market","6","SOUTHERN","2025/03/05 03:51:42 PM","2025/10/10 08:05:31 AM"
"LLP","1664","429615","Active",,,"McTeague's Saloon","1237 POLK ST","San Francisco","CA","POINT (-122.4205785 37.788363)","Nob Hill","3","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1665","1137152","Active","P23","Place of Entertainment","Cavana Rooftop Bar","108 CHANNEL ST","San Francisco","CA","POINT (-122.390505 37.774719)","Mission Bay","6","BAYVIEW","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1666","1132807","Active",,,"Mona Lisa Mare E Monti","414 COLUMBUS AVE","San Francisco","CA","POINT (-122.408028 37.799082)","North Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1667","1135200","Active",,,"Arepas","3198 16TH ST","San Francisco","CA","POINT (-122.423931 37.765017)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1669","1087904","Active",,,"Eye and Hand Society","3245 BALBOA ST","San Francisco","CA","POINT (-122.493542083 37.775868364)","Outer Richmond","1","RICHMOND","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, BP","1670","1140029","Active","P23","Place of Entertainment","Kilowatt","3160 16TH ST","San Francisco","CA","POINT (-122.4232605 37.765071)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1671","339377","Active",,,"Libreria Pino/Telegraph Hill Books","1501 GRANT AVE","San Francisco","CA","POINT (-122.407857 37.800783)","North Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1672","322936","Active",,,"Intersection for the Arts","1446 MARKET ST","San Francisco","CA","POINT (-122.4185895 37.776177)","Tenderloin","6","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1673","1120111","Active","P23","Place of Entertainment","Bar Part Time","496 14TH ST","San Francisco","CA","POINT (-122.4241875 37.768221)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1674",,"Active","P23","Place of Entertainment","Mother","3079 16TH ST","San Francisco","CA","POINT (-122.4213345 37.764684)","Mission","9","MISSION","2025/03/28 03:06:35 PM","2025/10/10 08:05:31 AM"
"LLP","1675","1031595","Active",,,"The Korner Store Bites & Vibes","4516 MISSION ST","San Francisco","CA","POINT (-122.4344205 37.725696)","Outer Mission","11","INGLESIDE","2025/03/28 03:06:35 PM","2025/10/10 08:05:31 AM"
"LLP","1676","0391888","Active",,,"PIAZZA PELLEGRINI","659 COLUMBUS AVE","San Francisco","CA","POINT (-122.4115155 37.800981)","Chinatown","3","CENTRAL","2025/03/28 03:06:35 PM","2025/10/10 08:05:31 AM"
"LLP","1677","1080987","Active",,,"METRO EVENTS LLC","27 THE EMBARCADERO","San Francisco","CA","POINT (-122.4156024 37.809023846)","North Beach","3","CENTRAL","2025/03/28 03:06:35 PM","2025/10/10 08:05:31 AM"
"LLP","1678","1133730","Active",,,"RUDI'S SPORTS BAR & RESTAURANT","3108 16TH ST","San Francisco","CA","POINT (-122.422248 37.765143)","Mission","9","MISSION","2025/03/28 03:06:35 PM","2025/10/10 08:05:31 AM"
"LLP","1679","1094327","Active",,,"SHIPYARD TRUST FOR THE ARTS","101 HORNE AVE","San Francisco","CA","POINT (-122.365044 37.727568)","Bayview Hunters Point","10","BAYVIEW","2025/03/28 03:06:35 PM","2025/10/10 08:05:31 AM"
"LLP","1681","1126200","Active",,,"540","540 CLEMENT ST","San Francisco","CA","POINT (-122.465124 37.783179)","Inner Richmond","1","RICHMOND","2025/07/17 09:45:09 AM","2025/10/10 08:05:31 AM"
"POE","1682","0430159","Active","P23","Place of Entertainment","MUSIC CITY HOTEL","1353 BUSH ST","San Francisco","CA","POINT (-122.4195525 37.788534)","Nob Hill","3","NORTHERN","2025/03/28 03:06:35 PM","2025/10/10 08:05:31 AM"
"LLP","1684","1067568","Active",,,"ROCKS DEN","4753 MISSION ST","San Francisco","CA","POINT (-122.4364185 37.722123)","Excelsior","11","INGLESIDE","2025/03/28 03:06:35 PM","2025/10/10 08:05:31 AM"
"LLP","1686","0469286","Active",,,"FIG & THISTLE","429 GOUGH ST","San Francisco","CA","POINT (-122.4233145 37.777239)","Hayes Valley","5","NORTHERN","2025/03/28 03:06:35 PM","2025/10/10 08:05:31 AM"
"LLP","1687","1123679","Active",,,"SYZYGY ACADEMY","395 SOUTH VAN NESS AVE","San Francisco","CA","POINT (-122.41737 37.767015)","Mission","9","MISSION","2025/03/28 03:06:35 PM","2025/10/10 08:05:31 AM"
"LLP","1688","0448434","Active",,,"The City Station","701 VALENCIA ST","San Francisco","CA","POINT (-122.4212895 37.761507)","Mission","9","MISSION","2025/03/28 03:06:35 PM","2025/10/10 08:05:31 AM"
"FPAS","1689","1123524","Active",,,"PROPOSITION CHICKEN","3465 CALIFORNIA ST","San Francisco","CA","POINT (-122.451111 37.786302)","Presidio Heights","2","RICHMOND","2025/03/28 03:06:35 PM","2025/10/10 08:05:31 AM"
"LLP","1690","0490623","Active",,,"SVN West","10 SOUTH VAN NESS AVE","San Francisco","CA","POINT (-122.4194985 37.77426)","Mission","6","SOUTHERN","2025/03/28 03:06:35 PM","2025/10/10 08:05:31 AM"
"LLP","1691","0374410","Active",,,"RULLI RISTO-BAR","2300 CHESTNUT ST","San Francisco","CA","POINT (-122.441499 37.800351)","Marina","2","NORTHERN","2025/03/31 03:49:55 PM","2025/10/10 08:05:31 AM"
"FPAS","1692","1084632","Active",,,"PARKLAB GARDENS","1379 4TH ST","San Francisco","CA","POINT (-122.391200008 37.77124795)","Mission Bay","6","BAYVIEW","2025/03/28 03:06:35 PM","2025/10/10 08:05:31 AM"
