"Active Licenses","Permit Number","BAN","Permit Status","POE Class Code","License Type","DBA Name","Street Address","City","State","Point","analysis_neighborhood","supervisor_district","police_district","data_as_of","data_loaded_at"
"POE","1151","0368251","Active","P23","Place of Entertainment","SF Jazz","201 FRANKLIN ST","San Francisco","CA","POINT (-122.421213843 37.776253043)","Hayes Valley","5","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"EHP","1153","0310807","Active",,,"Taqueria Guadalajara","4798 MISSION ST","San Francisco","CA","POINT (-122.437477956 37.721267548)","Outer Mission","11","INGLESIDE","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1155","0480589","Active",,,"Center for New Music San Francisco","55 TAYLOR ST","San Francisco","CA","POINT (-122.410692287 37.782613701)","Tenderloin","5","TENDERLOIN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1156","0464262","Active",,,"Original Joe's","601 UNION ST","San Francisco","CA","POINT (-122.409309653 37.800409415)","North Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1163","1129505","Active",,,"Red Poppy Art House","2698 FOLSOM ST","San Francisco","CA","POINT (-122.414289592 37.754187645)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1166","1105855","Active","P23","Place of Entertainment","Pagoda","1704 POST ST","San Francisco","CA","POINT (-122.429967707 37.785578664)","Japantown","5","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1168","0303017","Active","P23","Place of Entertainment","Brava Theater Center","2781 24TH ST","San Francisco","CA","POINT (-122.4077625 37.75266)","Mission","9","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1170","0026377","Active","P23","Place of Entertainment","Slovenian Hall","2101 MARIPOSA ST","San Francisco","CA","POINT (-122.404493866 37.763354325)","Potrero Hill","10","BAYVIEW","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1172","0460458","Active",,,"620 Jones","620 JONES ST","San Francisco","CA","POINT (-122.413205258 37.787055272)","Tenderloin","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1174","476394","Active","P23","Place of Entertainment","SF Eagle Bar","398 12TH ST","San Francisco","CA","POINT (-122.4134325 37.769985)","Mission","6","SOUTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE, BP","1182","0477625","Active","P23","Place of Entertainment","Four Deuces","2319 TARAVAL ST","San Francisco","CA","POINT (-122.490974087 37.742352787)","Sunset/Parkside","4","TARAVAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"EHP","1183","0460685","Active",,,"Paris Pizza/Pizzaria","448 BROADWAY","San Francisco","CA","POINT (-122.404662 37.798434)","North Beach","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"EHP","1185","0430716","Active",,,"Milan Pizza","606 GEARY ST","San Francisco","CA","POINT (-122.413380552 37.786735541)","Tenderloin","3","CENTRAL","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"POE","1187","0477405","Active","P23","Place of Entertainment","Beaux","2344 MARKET ST","San Francisco","CA","POINT (-122.434103549 37.763563222)","Castro/Upper Market","8","MISSION","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"EHP","1188","0168378","Active",,,"Hotel Nikko","222 MASON ST","San Francisco","CA","POINT (-122.4095272 37.785546317)","Tenderloin","5","TENDERLOIN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
"LLP","1189","0419277","Active",,,"Brenda's French Soul Food","652 POLK ST","San Francisco","CA","POINT (-122.419073478 37.782666468)","Tenderloin","5","NORTHERN","2024/01/29 02:30:06 PM","2025/10/10 08:05:31 AM"
